StudentID,FirstName,LastName,University,Major,CGPA,Skills,LocationPreferences,SectorInterests,IsFromRuralArea,IsFromAspirational,SocialCategory,Gender,PastParticipation,ProjectDescription
1000,Lakshmi,Krishnamurthy,MIT,Marketing,6.54,"Email Marketing,Social Media Marketing,SEO,Content Creation,Google Analytics","Mumbai,Delhi","Finance,Marketing",FALSE,FALSE,OBC,Male,FALSE,Placeat tempora recusandae quam. Sit pariatur ex impedit facere fugiat.
1001,Isaiah,Basu,Delhi University,Finance,9.45,"Excel,Financial Modeling,Tally","Mumbai,Chennai","IT,Marketing",FALSE,FALSE,OBC,Female,FALSE,Quis fugit amet maxime aliquam excepturi. Vel esse corporis voluptatibus aliquam.
1002,Aachal,Nagy,MIT,Marketing,8.45,"SEO,Email Marketing,Social Media Marketing,Content Creation,Google Analytics","Delhi,Bangalore","IT,Finance",TRUE,FALSE,ST,Male,FALSE,Saepe beatae enim reprehenderit quisquam. Repellat reiciendis mollitia animi.
1003,Aryan,Nayar,VIT,Marketing,8.99,"SEO,Google Analytics,Social Media Marketing,Email Marketing,Content Creation","Delhi,Pune","Manufacturing,IT",FALSE,FALSE,OBC,Female,FALSE,Eum ipsum facere perferendis explicabo. Explicabo perspiciatis quam perferendis vitae optio nam. Esse quis impedit.
1004,Zashil,Mane,Pune University,Marketing,6.92,"Content Creation,SEO,Google Analytics,Social Media Marketing","Pune,Mumbai","Healthcare,Marketing",FALSE,FALSE,SC,Male,FALSE,Fuga facere consequatur a. Quos dolores fuga vero minus.
1005,Advaith,Kapoor,Delhi University,Finance,8.23,"Risk Analysis,Excel,Tally,QuickBooks,Financial Modeling,Statistics","Hyderabad,Pune","Healthcare,IT",FALSE,FALSE,SC,Female,FALSE,Delectus voluptatum aliquam reprehenderit sed minima accusamus ducimus. Iusto laudantium quidem repudiandae magni sunt repellendus. Culpa impedit sapiente cum beatae itaque laboriosam. Laborum aliquid porro saepe cum rerum.
1006,Maya,Pandey,Mumbai University,Computer Science,8.04,"Python,Java,Node.js,SQL,Docker,C++,Cloud Computing,React","Delhi,Pune","Marketing,IT",FALSE,FALSE,GEN,Female,FALSE,Aliquam maiores maiores adipisci officiis eaque nihil. Recusandae labore veniam dolorum quidem facere. Iste porro ad quisquam cum.
1007,Tripti,Bhargava,VIT,Marketing,6.9,"Email Marketing,Content Creation,Social Media Marketing,SEO","Mumbai,Hyderabad","Manufacturing,IT",FALSE,FALSE,OBC,Male,FALSE,Voluptatem labore rem. Iusto nihil neque ex accusantium temporibus voluptatum tenetur. Esse tempora nemo maiores sunt.
1008,Rayaan,Shanker,Mumbai University,Finance,6.91,"Excel,Financial Modeling,Statistics","Bangalore,Hyderabad","Marketing,IT",TRUE,FALSE,OBC,Male,FALSE,Sunt praesentium corporis rem nostrum. Porro at culpa autem ex natus libero.
1009,Abhimanyu,Lal,VIT,Computer Science,9.18,"SQL,C++,Java","Bangalore,Pune","Healthcare,Finance",FALSE,FALSE,ST,Male,FALSE,Ipsam temporibus eaque nemo ipsam soluta enim. Molestiae molestiae a dolorum dolore. Voluptates et modi.
1010,Kashvi,Goda,Mumbai University,Computer Science,6.9,"C++,Cloud Computing,SQL,Java,Node.js,Docker,Python,React","Bangalore,Hyderabad","Marketing,Manufacturing",TRUE,TRUE,SC,Male,FALSE,Eos expedita corporis non. Unde possimus quos ipsam hic repellat commodi.
1011,Mahika,Loke,Pune University,Finance,7.07,"Tally,Risk Analysis,Statistics,Financial Modeling,QuickBooks","Mumbai,Chennai","Marketing,Healthcare",FALSE,FALSE,SC,Female,FALSE,A eius tenetur magnam. Ullam eligendi dignissimos tempore architecto delectus minus atque. Facere incidunt recusandae.
1012,Balvan,Raj,Pune University,Computer Science,8.25,"Docker,React,Python,SQL,Java,C++,Cloud Computing,Node.js","Delhi,Bangalore","IT,Finance",FALSE,FALSE,OBC,Male,TRUE,Vitae eaque inventore nulla. Numquam quod omnis earum nisi.
1013,Luke,Mangal,VIT,Finance,9.02,"QuickBooks,Statistics,Tally,Excel","Bangalore,Mumbai","Healthcare,Finance",FALSE,TRUE,ST,Male,FALSE,Autem non molestias occaecati consequuntur dolorem aliquam. Tenetur magnam asperiores aperiam cupiditate sequi voluptatibus.
1014,Keya,Sule,MIT,Mechanical Engineering,7.26,"FEA,SolidWorks,3D Printing,AutoCAD,Thermodynamics","Delhi,Hyderabad","Marketing,Manufacturing",FALSE,FALSE,SC,Female,FALSE,Impedit quidem et vero blanditiis reprehenderit odio. Dolorem quis quos expedita incidunt veniam. Quisquam sequi recusandae vel culpa tenetur.
